Municipio,Situacao,Observacoes
Cabo de Santo Agostinho,Nao,"Não, mas está previsto para o próximo ano."
Coari,Sim,"Sim, através de catraias como: canoas de alto porte, embarcações fluviais (barcos grandes)."
Fortaleza,Nao,"Não temos atendimento de zona rural."
